Culture,Category,Original Meaning,Affix,Archaic Affix,Archaic Example,Intermediate Example,Modern Example
Scottish Gaelic,Topography,rocky eminence,Torr$,Tòrr $,Tòrr Donaidh,Torridon,Torridon
Scottish Gaelic,Topography,sea inlet,Loch$,Loch $,Loch Aillse,Lochalsh,Lochalsh
Scottish Gaelic,Topography,valley,Glen$,Gleann $,Gleann Comhann,Glencoe,Glencoe
Sorbian/Wendish,Engineering,estate,$ow,$ovu,Luk-ovu,Lukow,Luckau
Sorbian/Wendish,Engineering,people,$itz,$ici,Bud-ici,Buditz,Budziszyn
Sorbian/Wendish,Fortification,fortified town,$grad,$gradh,Star-gradh,Stargard,Stargard
Sorbian/Wendish,Topography,oak clearing,Dub$,Dub$,Dub-ici,Dubitz,Dubitz
Sorbian/Wendish,Topography,oak grove,Dub$,Dub$,Dub-ici,Dubitz,Dubitz
Sorbian/Wendish,Topography,river,Spree$,Sprjewja$,Sprjewja-grad,Spreegrad,Spreeburg
South Slavic,Engineering,market town,$varos,$varosu,Donja-varosь,Donjavaros,Varos
South Slavic,Engineering,town,$varos,$varosu,Donja-varosь,Donjavaros,Varos
South Slavic,Engineering,village,$selo,$selo,Novo-selo,Novoselo,Novo Selo
South Slavic,Fortification,fortified town,$grad,$gradh,Stari-gradh,Starigrad,Starigrad
South Slavic,Fortification,fortress,$tvrdava,$tvrdjava,Bela-tvrdjava,Belatvrdjava,Tvrdava
South Slavic,Topography,harbor meadow,$luka,$luka,Velika-luka,Velikaluka,Velika Luka
South Slavic,Topography,hill,$brdo,$brdo,Belo-brdo,Belobrdo,Belo Brdo
South Slavic,Topography,island,$otok,$otoku,Velji-otoku,Veljiotok,Veliki Otok
South Slavic,Topography,spring,$vrelo,$vrelo,Studen-vrelo,Studenvrelo,Vrelo
Thracian,Engineering,settlement,$bria,$bria,Mesem-bria,Mesembria,Nessebar
Thracian,Engineering,settlement,$dava,$dava,Pulpudeva,Pulpudeva,Plovdiv
Thracian,Engineering,settlement,$para,$para,Bessa-para,Bessapara,Bessapar
Thracian,Engineering,town,$bria,$bria,Mesem-bria,Mesembria,Nessebar
Thracian,Engineering,village,$para,$para,Bessa-para,Bessapara,Bessapar
Thracian,Fortification,fortress,$diza,$diza,Tiriz-diza,Tirizdiza,Tirizis
Thracian,Fortification,walled place,$diza,$diza,Tiriz-diza,Tirizdiza,Tirizis
Thracian,Topography,mountain,$pene,$pene,Rhodo-pene,Rhodopene,Rhodope
Thracian,Topography,river,$estr,$estros,Istr-os,Istros,Ister
Thracian,Topography,upland,$pene,$pene,Rhodo-pene,Rhodopene,Rhodope
Vandal,Engineering,home,$haim,$haims,Wandal-haim,Wandalhaim,Vandalheim
Vandal,Engineering,settlement,$haim,$haims,Wandal-haim,Wandalhaim,Vandalheim
Vandal,Fortification,fortified place,$burg,$baurgs,Gaiseric-burg,Gaisericburg,Gaiserburg
Vandal,Topography,borderland,$mark,$marka,Africa-marka,Africamark,Afrimark
Vandal,Topography,march,$mark,$marka,Africa-marka,Africamark,Afrimark
Vandal,Topography,strait,$sund,$sund,Wandal-sund,Wandalsund,Vandalsund
Venetic,Engineering,estate,$ico,$iko,Acel-iko,Acelico,Azelico
Venetic,Engineering,settlement,$ago,$ago,Tarv-ago,Tarvago,Tarvisio
Venetic,Engineering,settlement,$este,$este,At-este,Ateste,Este
Venetic,Topography,river,$av,$ava,Medu-ava,Meduava,Meduna
Visigothic,Engineering,enclosure,$gard,$gards,Roderic-gards,Rodericgard,Ruygard
Visigothic,Engineering,estate,$villa,$villa,Goth-villa,Godovilla,Godella
Visigothic,Engineering,home,$heim,$haims,Alaric-haims,Alarichem,Alarheim
Visigothic,Engineering,village,$villa,$villa,Goth-villa,Godovilla,Godella
Visigothic,Fortification,fortified place,$burg,$baurgs,Wamba-burg,Wambaburg,Wamburg
Visigothic,Topography,field,$campo,$campus,Goth-campo,Goticampo,Godcampo
Visigothic,Topography,hill,$berg,$bairgahei,Goth-berg,Gotberg,Godberga
Visigothic,Topography,mountain,$berg,$bairgahei,Goth-berg,Gotberg,Godberga
Welsh,Engineering,bridge,Pont$,Pont$,Pont-y-pridd,Pontypridd,Pontypridd
Welsh,Engineering,settlement,Tre$,Tre$,Tre-degar,Tredegar,Tredegar
Welsh,Engineering,village,Pentre$,Pentre$,Pentre-bach,Pentrebach,Pentrebach
Welsh,Fortification,castle,Castell$,Castell$,Castell-nedd,Castellnedd,Neath
Welsh,Fortification,fort,Caer$,Caer$,Caer-dydd,Caerdyf,Cardiff
Welsh,Fortification,fort,Din$,Din$,Din-bych,Dinbych,Denbigh
Welsh,Fortification,stronghold,Din$,Din$,Din-bych,Dinbych,Denbigh
Welsh,Sacred,church,Llan$,Llan$,Llan-fair,Llanfair,Llanfair
Welsh,Sacred,parish,Llan$,Llan$,Llan-fair,Llanfair,Llanfair
Welsh,Topography,field,Cae$,Cae$,Cae-rhun,Caerhun,Caerhun
Welsh,Topography,field,Maes$,Maes$,Maes-teg,Maesteg,Maesteg
Welsh,Topography,ford,Rhyd$,Rhyd$,Rhyd-y-felin,Rhydfelin,Rhydfelin
Welsh,Topography,headland,Pen$,Pen$,Pen-y-bont,Penybont,Penybont
Welsh,Topography,hill,Bryn$,Bryn$,Bryn-mawr,Brynmawr,Brynmawr
Welsh,Topography,lake,Llyn$,Llyn$,Llyn-teg,Llynteg,Llynteg
Welsh,Topography,meadow,Dol$,Dol$,Dol-gellau,Dolgelleu,Dolgellau
Welsh,Topography,moor heath,Rhos$,Rhos$,Rhos-llannerch,Rhosllannerch,Rhosllanerchrugog
Welsh,Topography,mountain,Mynydd$,Mynydd$,Mynydd-mawr,Mynyddmawr,Mynydd Mawr
Welsh,Topography,open plain,Maes$,Maes$,Maes-teg,Maesteg,Maesteg
Welsh,Topography,promontory,Pen$,Pen$,Pen-y-bont,Penybont,Penybont
Welsh,Topography,promontory,Rhos$,Rhos$,Rhos-llannerch,Rhosllannerch,Rhosllanerchrugog
Welsh,Topography,river,Afon$,Afon$,Afon-taf,Afontaf,Afontaf
Welsh,Topography,river,Avon$,Afon$,Afon-wen,Avonwen,Avonwen
Welsh,Topography,river bank,Glan$,Glan$,Glan-afon,Glanafon,Glanafon
Welsh,Topography,river mouth,Aber$,Aber$,Aber-tawe,Abertawe,Swansea
Welsh,Topography,river source,Blaen$,Blaen$,Blaen-afon,Blaenavon,Blaenavon
Welsh,Topography,river valley,Ystrad$,Ystrad$,Ystrad-gynlais,Ystradgynlais,Ystradgynlais
Welsh,Topography,stream valley,Nant$,Nant$,Nant-gwyn,Nantgwyn,Nantgwyn
Welsh,Topography,upland,Mynydd$,Mynydd$,Mynydd-mawr,Mynyddmawr,Mynydd Mawr
Welsh,Topography,upper end,Blaen$,Blaen$,Blaen-afon,Blaenavon,Blaenavon
Welsh,Topography,valley,Cwm$,Cwm$,Cwm-bran,Cwmbran,Cwmbran
Welsh,Topography,valley,Glyn$,Glyn$,Glyn-ceiriog,Glynceiriog,Glyn Ceiriog
Welsh,Topography,water meadow,Dol$,Dol$,Dol-gellau,Dolgelleu,Dolgellau
Welsh,Topography,wood,Coed$,Coed$,Coed-poeth,Coedpoeth,Coedpoeth
